time_s,neural_action,confidence,management_action,pmu_weights
0.039,ACCEPT,0.999992447313405,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.059,ACCEPT,0.9999207419817061,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.079,ACCEPT,0.9692980834101528,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.099,ACCEPT,0.9999988661500365,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.119,ACCEPT,0.9997528635964814,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.139,ACCEPT,0.9999854553504335,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.159,ACCEPT,0.9999730965396045,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.179,ACCEPT,0.999930245271185,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.199,ACCEPT,0.9996436019706904,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.219,ACCEPT,0.9968578189090676,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.239,ACCEPT,0.9896925025524866,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.259,ACCEPT,0.9999051308034463,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.279,ACCEPT,0.9999912244179194,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.299,ACCEPT,0.9986833172027694,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.319,ACCEPT,0.9999485871199656,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.339,ACCEPT,0.9999978190813286,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.359,ACCEPT,0.999827867367638,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.379,ACCEPT,0.9998623898709886,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.399,ACCEPT,0.9995373857099006,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.419,ACCEPT,0.9895393550774952,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.439,ACCEPT,0.9835983770857883,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.459,ACCEPT,0.999999679437904,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.479,ACCEPT,0.9999922695469463,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.499,ACCEPT,0.9995225123868113,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.519,ACCEPT,0.9999719378649533,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.539,ACCEPT,0.9999663441049178,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.559,ACCEPT,0.9999978599215247,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.579,ACCEPT,0.9999996299888737,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.599,ACCEPT,0.9998623510136104,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.619,ACCEPT,0.9999997409256477,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.639,ACCEPT,0.9998711815615852,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.659,ACCEPT,0.9999631000031307,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.679,ACCEPT,0.9990411219933574,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.6990000000000001,ACCEPT,0.9991163663165243,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.719,DOWNWEIGHT_PMU2,0.9999675714654724,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
0.739,DOWNWEIGHT_PMU2,0.9999999999999991,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
0.759,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
0.779,DOWNWEIGHT_PMU2,0.9999999999999989,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
0.799,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
0.8190000000000001,DOWNWEIGHT_PMU2,0.9999999999999996,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
0.839,DOWNWEIGHT_PMU2,0.9999999999999998,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
0.859,DOWNWEIGHT_PMU2,0.9999999999999993,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
