time_s,neural_action,confidence,management_action,pmu_weights
0.039,ACCEPT,0.9633270638792292,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.059,ACCEPT,0.9993214888646815,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.079,ACCEPT,0.9918051539770122,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.099,ACCEPT,0.997961576203798,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.119,ACCEPT,0.9999922264803767,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.139,ACCEPT,0.9999859530158565,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.159,ACCEPT,0.9999420551244806,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.179,ACCEPT,0.9933915113066825,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.199,ACCEPT,0.9975705914083697,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.219,ACCEPT,0.9999689415819002,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.239,ACCEPT,0.9995390221956456,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.259,ACCEPT,0.9823418246452429,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.279,ACCEPT,0.9997944278398226,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.299,ACCEPT,0.995546259803516,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.319,ACCEPT,0.9999922261226404,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.339,ACCEPT,0.9999991271342122,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.359,ACCEPT,0.999937882189136,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.379,ACCEPT,0.9996034367358769,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.399,ACCEPT,0.9828329938860048,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.419,ACCEPT,0.9946718873315555,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.439,ACCEPT,0.9999996387451381,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.459,ACCEPT,0.9999961745993381,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.479,ACCEPT,0.9999953947815394,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.499,ACCEPT,0.9979931907221472,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.519,ACCEPT,0.9974332173848403,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.539,ACCEPT,0.9990228115109594,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.559,ACCEPT,0.9999918668855515,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.579,ACCEPT,0.9998888483705206,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.599,ACCEPT,0.9999234668812945,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.619,ACCEPT,0.999942575543893,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.639,ACCEPT,0.9909003087247871,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.659,ACCEPT,0.9760391609909832,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.679,ACCEPT,0.9907885736818064,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.6990000000000001,ACCEPT,0.9998737677358036,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.719,ACCEPT,0.9918502972347948,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.739,ACCEPT,0.9999963209716004,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.759,ACCEPT,0.998506067859473,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.779,ACCEPT,0.9996513006172187,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.799,ACCEPT,0.9997695682847334,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.8190000000000001,ACCEPT,0.9999020145648309,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.839,ACCEPT,0.9999971692612337,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.859,ACCEPT,0.9999977801440881,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.879,ACCEPT,0.9999032390999424,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.899,ACCEPT,0.5298848879287041,HOLD / REQUEST MORE DATA,"[1.0, 1.0, 1.0]"
0.919,DOWNWEIGHT_PMU2,0.889952784239598,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
0.939,DOWNWEIGHT_PMU2,0.9752066487043138,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
0.959,DOWNWEIGHT_PMU2,0.9999597491218606,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
0.979,DOWNWEIGHT_PMU2,0.9997093507060186,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
0.999,DOWNWEIGHT_PMU2,0.9999769037177149,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.019,DOWNWEIGHT_PMU2,0.9999926789439175,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.039,DOWNWEIGHT_PMU2,0.9999962911668296,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.059,DOWNWEIGHT_PMU2,0.9999984815484222,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.079,DOWNWEIGHT_PMU2,0.9999997942681417,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.099,DOWNWEIGHT_PMU2,0.9999998851966113,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.119,DOWNWEIGHT_PMU2,0.9999999359109525,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.139,DOWNWEIGHT_PMU2,0.9999999925370516,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.159,DOWNWEIGHT_PMU2,0.9999999960220545,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.179,DOWNWEIGHT_PMU2,0.9999999977138081,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.199,DOWNWEIGHT_PMU2,0.9999999994351336,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.219,DOWNWEIGHT_PMU2,0.9999999987668824,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.239,DOWNWEIGHT_PMU2,0.9999999999202556,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
