source,time_s,label
scenario_data/normal_r01.csv,0.199,NORMAL
scenario_data/normal_r01.csv,0.219,NORMAL
scenario_data/normal_r01.csv,0.239,NORMAL
scenario_data/normal_r01.csv,0.259,NORMAL
scenario_data/normal_r01.csv,0.279,NORMAL
scenario_data/normal_r01.csv,0.299,NORMAL
scenario_data/normal_r01.csv,0.319,NORMAL
scenario_data/normal_r01.csv,0.339,NORMAL
scenario_data/normal_r01.csv,0.359,NORMAL
scenario_data/normal_r01.csv,0.379,NORMAL
scenario_data/normal_r01.csv,0.399,NORMAL
scenario_data/normal_r01.csv,0.419,NORMAL
scenario_data/normal_r01.csv,0.439,NORMAL
scenario_data/normal_r01.csv,0.459,NORMAL
scenario_data/normal_r01.csv,0.479,NORMAL
scenario_data/normal_r01.csv,0.499,NORMAL
scenario_data/normal_r01.csv,0.519,NORMAL
scenario_data/normal_r01.csv,0.539,NORMAL
scenario_data/normal_r01.csv,0.559,NORMAL
scenario_data/normal_r01.csv,0.579,NORMAL
scenario_data/normal_r01.csv,0.599,NORMAL
scenario_data/normal_r01.csv,0.619,NORMAL
scenario_data/normal_r01.csv,0.639,NORMAL
scenario_data/normal_r01.csv,0.659,NORMAL
scenario_data/normal_r01.csv,0.679,NORMAL
scenario_data/normal_r01.csv,0.6990000000000001,NORMAL
scenario_data/normal_r01.csv,0.719,NORMAL
scenario_data/normal_r01.csv,0.739,NORMAL
scenario_data/normal_r01.csv,0.759,NORMAL
scenario_data/normal_r01.csv,0.779,NORMAL
scenario_data/normal_r01.csv,0.799,NORMAL
scenario_data/normal_r01.csv,0.8190000000000001,NORMAL
scenario_data/normal_r01.csv,0.839,NORMAL
scenario_data/normal_r01.csv,0.859,NORMAL
scenario_data/normal_r01.csv,0.879,NORMAL
scenario_data/normal_r01.csv,0.899,NORMAL
scenario_data/normal_r01.csv,0.919,NORMAL
scenario_data/normal_r01.csv,0.939,NORMAL
scenario_data/normal_r01.csv,0.959,NORMAL
scenario_data/normal_r01.csv,0.979,NORMAL
scenario_data/normal_r01.csv,0.999,NORMAL
scenario_data/normal_r01.csv,1.019,NORMAL
scenario_data/normal_r01.csv,1.039,NORMAL
scenario_data/normal_r01.csv,1.059,NORMAL
scenario_data/normal_r01.csv,1.079,NORMAL
scenario_data/normal_r01.csv,1.099,NORMAL
scenario_data/normal_r01.csv,1.119,NORMAL
scenario_data/normal_r01.csv,1.139,NORMAL
scenario_data/normal_r01.csv,1.159,NORMAL
scenario_data/normal_r01.csv,1.179,NORMAL
scenario_data/normal_r01.csv,1.199,NORMAL
scenario_data/normal_r01.csv,1.219,NORMAL
scenario_data/normal_r01.csv,1.239,NORMAL
scenario_data/normal_r01.csv,1.259,NORMAL
scenario_data/normal_r01.csv,1.279,NORMAL
scenario_data/normal_r01.csv,1.299,NORMAL
scenario_data/normal_r01.csv,1.319,NORMAL
scenario_data/normal_r01.csv,1.339,NORMAL
scenario_data/normal_r01.csv,1.359,NORMAL
scenario_data/normal_r01.csv,1.379,NORMAL
scenario_data/normal_r01.csv,1.399,NORMAL
scenario_data/normal_r01.csv,1.419,NORMAL
scenario_data/normal_r01.csv,1.439,NORMAL
scenario_data/normal_r01.csv,1.459,NORMAL
scenario_data/normal_r01.csv,1.479,NORMAL
scenario_data/normal_r01.csv,1.499,NORMAL
scenario_data/normal_r01.csv,1.519,NORMAL
scenario_data/normal_r01.csv,1.539,NORMAL
scenario_data/normal_r01.csv,1.559,NORMAL
scenario_data/normal_r01.csv,1.579,NORMAL
scenario_data/normal_r01.csv,1.599,NORMAL
scenario_data/normal_r01.csv,1.619,NORMAL
scenario_data/normal_r01.csv,1.639,NORMAL
scenario_data/normal_r01.csv,1.659,NORMAL
scenario_data/normal_r01.csv,1.679,NORMAL
scenario_data/normal_r01.csv,1.699,NORMAL
scenario_data/normal_r01.csv,1.719,NORMAL
scenario_data/normal_r01.csv,1.739,NORMAL
scenario_data/normal_r01.csv,1.759,NORMAL
scenario_data/normal_r01.csv,1.779,NORMAL
scenario_data/normal_r01.csv,1.799,NORMAL
scenario_data/normal_r01.csv,1.819,NORMAL
scenario_data/normal_r01.csv,1.839,NORMAL
scenario_data/normal_r01.csv,1.859,NORMAL
scenario_data/normal_r01.csv,1.879,NORMAL
scenario_data/normal_r01.csv,1.899,NORMAL
scenario_data/normal_r01.csv,1.919,NORMAL
scenario_data/normal_r01.csv,1.939,NORMAL
scenario_data/normal_r01.csv,1.959,NORMAL
scenario_data/normal_r01.csv,1.979,NORMAL
scenario_data/normal_r01.csv,1.999,NORMAL
scenario_data/normal_r01.csv,2.019,NORMAL
scenario_data/normal_r01.csv,2.039,NORMAL
scenario_data/normal_r01.csv,2.059,NORMAL
scenario_data/normal_r01.csv,2.079,NORMAL
scenario_data/normal_r01.csv,2.099,NORMAL
scenario_data/normal_r01.csv,2.119,NORMAL
scenario_data/normal_r01.csv,2.139,NORMAL
scenario_data/normal_r01.csv,2.1590000000000003,NORMAL
scenario_data/normal_r01.csv,2.179,NORMAL
scenario_data/normal_r01.csv,2.199,NORMAL
scenario_data/normal_r01.csv,2.219,NORMAL
scenario_data/normal_r01.csv,2.239,NORMAL
scenario_data/normal_r01.csv,2.259,NORMAL
scenario_data/normal_r01.csv,2.279,NORMAL
scenario_data/normal_r01.csv,2.299,NORMAL
scenario_data/normal_r01.csv,2.319,NORMAL
scenario_data/normal_r01.csv,2.339,NORMAL
scenario_data/normal_r01.csv,2.359,NORMAL
scenario_data/normal_r01.csv,2.379,NORMAL
scenario_data/normal_r01.csv,2.399,NORMAL
scenario_data/normal_r01.csv,2.419,NORMAL
scenario_data/normal_r01.csv,2.439,NORMAL
scenario_data/normal_r01.csv,2.459,NORMAL
scenario_data/normal_r01.csv,2.479,NORMAL
scenario_data/normal_r01.csv,2.499,NORMAL
scenario_data/normal_r01.csv,2.519,NORMAL
scenario_data/normal_r01.csv,2.539,NORMAL
scenario_data/normal_r01.csv,2.559,NORMAL
scenario_data/normal_r01.csv,2.579,NORMAL
scenario_data/normal_r01.csv,2.599,NORMAL
scenario_data/normal_r01.csv,2.619,NORMAL
scenario_data/normal_r01.csv,2.639,NORMAL
scenario_data/normal_r01.csv,2.6590000000000003,NORMAL
scenario_data/normal_r01.csv,2.6790000000000003,NORMAL
scenario_data/normal_r01.csv,2.699,NORMAL
scenario_data/normal_r01.csv,2.719,NORMAL
scenario_data/normal_r01.csv,2.739,NORMAL
scenario_data/normal_r01.csv,2.759,NORMAL
scenario_data/normal_r01.csv,2.779,NORMAL
scenario_data/normal_r01.csv,2.799,NORMAL
scenario_data/normal_r01.csv,2.819,NORMAL
scenario_data/normal_r01.csv,2.839,NORMAL
scenario_data/normal_r01.csv,2.859,NORMAL
scenario_data/normal_r01.csv,2.879,NORMAL
scenario_data/normal_r01.csv,2.899,NORMAL
scenario_data/normal_r01.csv,2.919,NORMAL
scenario_data/normal_r01.csv,2.939,NORMAL
scenario_data/normal_r01.csv,2.959,NORMAL
scenario_data/normal_r01.csv,2.979,NORMAL
scenario_data/normal_r01.csv,2.999,NORMAL
