time_s,neural_action,confidence,management_action,pmu_weights
0.039,ACCEPT,0.998144153791847,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.059,ACCEPT,0.9995710006373035,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.079,ACCEPT,0.9994243199083633,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.099,ACCEPT,0.9999762690077026,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.119,ACCEPT,0.999981406114782,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.139,ACCEPT,0.9999899457015579,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.159,ACCEPT,0.9999395242532625,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.179,ACCEPT,0.9999994883474383,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.199,ACCEPT,0.9999861450841829,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.219,ACCEPT,0.9999992352344191,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.239,ACCEPT,0.9999904187463776,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.259,ACCEPT,0.9999476503551261,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.279,ACCEPT,0.9988736182199258,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.299,ACCEPT,0.9999464397132215,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.319,ACCEPT,0.9999777302135309,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.339,ACCEPT,0.9999982901677186,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.359,ACCEPT,0.9991502513055809,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.379,ACCEPT,0.9999911968576523,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.399,ACCEPT,0.9990376648303487,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.419,ACCEPT,0.999846677437832,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.439,ACCEPT,0.9998545401282641,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.459,ACCEPT,0.9999045688548551,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.479,ACCEPT,0.9992411387497085,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.499,ACCEPT,0.9999979224388041,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.519,ACCEPT,0.999816494534094,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.539,ACCEPT,0.9999776283589056,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.559,ACCEPT,0.9997585817063275,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.579,ACCEPT,0.9999330915504471,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
