time_s,neural_action,confidence,management_action,pmu_weights
0.039,ACCEPT,0.9999959246523942,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.059,ACCEPT,0.9999239711516702,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.079,ACCEPT,0.9708710502524919,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.099,ACCEPT,0.9999988371619851,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.119,ACCEPT,0.9996520540692917,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.139,ACCEPT,0.9999854205151547,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.159,ACCEPT,0.9999818476329763,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.179,ACCEPT,0.9999563804335047,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.199,ACCEPT,0.9997311240734367,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.219,ACCEPT,0.9955369971391581,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.239,ACCEPT,0.9928024955998735,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.259,ACCEPT,0.9998809010595281,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.279,ACCEPT,0.9999904098265308,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.299,ACCEPT,0.9979659965458972,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.319,ACCEPT,0.9999633011143437,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.339,ACCEPT,0.9999977944095205,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.359,ACCEPT,0.9998902207746618,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.379,ACCEPT,0.9997997834680669,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.399,ACCEPT,0.9996042778871862,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.419,ACCEPT,0.9868529883384924,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.439,ACCEPT,0.9905387767561773,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.459,ACCEPT,0.9999996925828102,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.479,ACCEPT,0.9999833683364673,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.499,ACCEPT,0.9989619368297324,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.519,ACCEPT,0.9999827116892718,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.539,ACCEPT,0.9999444639465069,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.559,ACCEPT,0.9999981313054084,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.579,ACCEPT,0.9999996127920745,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.599,ACCEPT,0.9997621921355351,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.619,ACCEPT,0.9999996230439774,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.639,ACCEPT,0.9997639211700352,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.659,ACCEPT,0.9999345576651442,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.679,ACCEPT,0.9988279486602178,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.6990000000000001,ACCEPT,0.9997622793558374,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.719,DOWNWEIGHT_PMU2,0.9998768453732932,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
0.739,DOWNWEIGHT_PMU2,0.9999999999999998,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
0.759,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
0.779,DOWNWEIGHT_PMU2,0.9999999999999998,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
0.799,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
0.8190000000000001,DOWNWEIGHT_PMU2,0.9999999999999998,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
0.839,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
0.859,DOWNWEIGHT_PMU2,0.9999999999999998,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
0.879,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
0.899,DOWNWEIGHT_PMU2,0.9999999999999998,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
0.919,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
0.939,DOWNWEIGHT_PMU2,0.9999999999999996,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
0.959,DOWNWEIGHT_PMU2,0.9999999999999998,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
0.979,DOWNWEIGHT_PMU2,0.9999999999999991,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
0.999,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.019,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.039,DOWNWEIGHT_PMU2,0.9999999999999998,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.059,DOWNWEIGHT_PMU2,0.9999999999999998,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.079,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.099,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
