time_s,neural_action,confidence,management_action,pmu_weights
0.039,ACCEPT,0.9333662285969079,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.059,ACCEPT,0.9994566878400007,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.079,ACCEPT,0.9947175364492926,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.099,ACCEPT,0.9982102501529476,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.119,ACCEPT,0.9999939623752753,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.139,ACCEPT,0.9999934942433127,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.159,ACCEPT,0.9999588685451859,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.179,ACCEPT,0.9942494535134766,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.199,ACCEPT,0.99637161541457,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.219,ACCEPT,0.9999861978217277,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.239,ACCEPT,0.9996551098149189,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.259,ACCEPT,0.9886669447199556,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.279,ACCEPT,0.9998722731196726,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.299,ACCEPT,0.9941890572839902,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.319,ACCEPT,0.9999938181248916,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.339,ACCEPT,0.9999987005660608,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.359,ACCEPT,0.9999487776169398,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.379,ACCEPT,0.9996356744156667,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.399,ACCEPT,0.9766967551588204,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.419,ACCEPT,0.9975407708917018,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.439,ACCEPT,0.9999995431126787,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.459,ACCEPT,0.9999943117833096,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.479,ACCEPT,0.999989828555954,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.499,ACCEPT,0.9986587326387202,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.519,ACCEPT,0.9975354003487233,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.539,ACCEPT,0.9985653502505906,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.559,ACCEPT,0.999993063357483,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.579,ACCEPT,0.9998871233165113,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.599,ACCEPT,0.9999614386906123,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.619,ACCEPT,0.9999613648845326,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.639,ACCEPT,0.989507047344516,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.659,ACCEPT,0.9820455318009256,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.679,ACCEPT,0.9940852624805684,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.6990000000000001,ACCEPT,0.9998863574807952,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.719,ACCEPT,0.9833358868492703,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.739,ACCEPT,0.999997163687105,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.759,ACCEPT,0.9992417656904244,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.779,ACCEPT,0.9997667809784195,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.799,ACCEPT,0.9996605369435356,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.8190000000000001,ACCEPT,0.9998221439518211,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.839,ACCEPT,0.9999936494156105,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.859,ACCEPT,0.9999968355885218,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.879,ACCEPT,0.9997862508236149,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.899,ACCEPT,0.5646005508701515,HOLD / REQUEST MORE DATA,"[1.0, 1.0, 1.0]"
0.919,DOWNWEIGHT_PMU2,0.8387460608490357,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
0.939,DOWNWEIGHT_PMU2,0.9762562383396307,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
0.959,DOWNWEIGHT_PMU2,0.9999499964413798,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
0.979,DOWNWEIGHT_PMU2,0.9994327849026331,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
0.999,DOWNWEIGHT_PMU2,0.9999533496553039,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.019,DOWNWEIGHT_PMU2,0.999990131514248,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.039,DOWNWEIGHT_PMU2,0.9999923545279936,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.059,DOWNWEIGHT_PMU2,0.9999972350873458,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.079,DOWNWEIGHT_PMU2,0.9999997176230373,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.099,DOWNWEIGHT_PMU2,0.9999998486777104,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.119,DOWNWEIGHT_PMU2,0.9999999427023909,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.139,DOWNWEIGHT_PMU2,0.9999999878352058,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.159,DOWNWEIGHT_PMU2,0.999999994201227,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.179,DOWNWEIGHT_PMU2,0.9999999949777634,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.199,DOWNWEIGHT_PMU2,0.9999999990931399,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.219,DOWNWEIGHT_PMU2,0.9999999991983786,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.239,DOWNWEIGHT_PMU2,0.999999999888783,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.259,DOWNWEIGHT_PMU2,0.9999999992223283,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.279,DOWNWEIGHT_PMU2,0.999999997550701,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.299,DOWNWEIGHT_PMU2,0.9999999999743017,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.319,DOWNWEIGHT_PMU2,0.9999999999973288,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.339,DOWNWEIGHT_PMU2,0.9999999999989231,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.359,DOWNWEIGHT_PMU2,0.9999999999960747,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.379,DOWNWEIGHT_PMU2,0.9999999999984996,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.399,DOWNWEIGHT_PMU2,0.9999999999998401,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.419,DOWNWEIGHT_PMU2,0.9999999999999332,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.439,DOWNWEIGHT_PMU2,0.9999999999999607,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.459,DOWNWEIGHT_PMU2,0.9999999999999711,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.479,DOWNWEIGHT_PMU2,0.9999999999999931,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.499,DOWNWEIGHT_PMU2,0.9999999999999982,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.519,DOWNWEIGHT_PMU2,0.9999999999999993,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.539,DOWNWEIGHT_PMU2,0.9999999999999991,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
