time_s,neural_action,confidence,management_action,pmu_weights
0.039,ACCEPT,0.9944687063734396,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.059,ACCEPT,0.9999073669118024,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.079,ACCEPT,0.9999196932694415,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.099,ACCEPT,0.999866926101359,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.119,ACCEPT,0.9999588395966814,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.139,ACCEPT,0.9999835314641933,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.159,ACCEPT,0.9979112483368937,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.179,ACCEPT,0.9996718248586255,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.199,ACCEPT,0.9960102422090354,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.219,ACCEPT,0.9999951866938314,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.239,ACCEPT,0.9997832198242468,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.259,ACCEPT,0.9999869968063733,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.279,ACCEPT,0.9999810132210932,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.299,ACCEPT,0.9996469601788214,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.319,ACCEPT,0.9999807391592735,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.339,ACCEPT,0.9995105399764695,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.359,ACCEPT,0.9996757368931252,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.379,ACCEPT,0.9999915557751548,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.399,ACCEPT,0.9999797269028572,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.419,ACCEPT,0.9999620993541711,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.439,ACCEPT,0.9999924883558656,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.459,ACCEPT,0.9996864574251717,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.479,ACCEPT,0.9972244902897155,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.499,ACCEPT,0.9979036708571306,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.519,ACCEPT,0.999670963599712,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.539,ACCEPT,0.9998293932532571,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.559,ACCEPT,0.9964900614727323,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
0.579,ACCEPT,0.9999928100978617,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
