Time (s),TX Value,Duty Cycle,Reconstructed Value,Poll Samples
0.000000,0.000000,0.464844,-0.070313,35214
0.001000,0.309017,0.000000,-1.000000,0
0.002000,0.587785,0.787430,0.574860,4121
0.003000,0.809017,0.884204,0.768408,6641
0.004000,0.951057,0.968526,0.937053,6990
0.005000,1.000000,0.993103,0.986207,3045
0.006000,0.951057,0.971756,0.943512,6196
0.007000,0.809017,0.902945,0.805891,6213
0.008000,0.587785,0.787219,0.574438,7120
0.009000,0.309017,0.625626,0.251252,5393
0.010000,-0.000000,0.489577,-0.020846,6428
0.011000,-0.309017,0.382083,-0.235835,1306
0.012000,-0.587785,0.000000,-1.000000,0
0.013000,-0.809017,0.101955,-0.796090,2609
0.014000,-0.951057,0.019771,-0.960458,8295
0.015000,-1.000000,0.000390,-0.999219,10246
0.016000,-0.951057,0.022025,-0.955950,6311
0.017000,-0.809017,0.087882,-0.824237,4324
0.018000,-0.587785,0.182641,-0.634719,4090
0.019000,-0.309017,0.310854,-0.378291,3722
0.020000,0.000000,0.475244,-0.049513,5029
0.021000,0.309017,0.624736,0.249472,5684
0.022000,0.587785,0.772106,0.544211,4094
0.023000,0.809017,0.875158,0.750315,1586
0.024000,0.951057,0.965668,0.931336,5709
0.025000,1.000000,0.998292,0.996584,9952
0.026000,0.951057,0.977568,0.955137,3076
0.027000,0.809017,0.902359,0.804717,3943
0.028000,0.587785,0.776250,0.552501,3419
0.029000,0.309017,0.637755,0.275510,7644
0.030000,-0.000000,0.507388,0.014776,3790
0.031000,-0.309017,0.316026,-0.367948,14252
0.032000,-0.587785,0.172667,-0.654666,4083
0.033000,-0.809017,0.092019,-0.815962,3195
0.034000,-0.951057,0.024887,-0.950226,6630
0.035000,-1.000000,0.000952,-0.998096,8403
0.036000,-0.951057,0.021521,-0.956957,6691
0.037000,-0.809017,0.079650,-0.840701,9705
0.038000,-0.587785,0.182104,-0.635792,6046
0.039000,-0.309017,0.318730,-0.362540,4976
0.040000,0.000000,0.447914,-0.104172,3811
0.041000,0.309017,0.594888,0.189776,5438
0.042000,0.587785,0.772173,0.544346,9020
0.043000,0.809017,0.891285,0.782570,11314
0.044000,0.951057,0.967175,0.934351,9962
0.045000,1.000000,0.997580,0.995161,9092
0.046000,0.951057,0.973774,0.947547,7359
0.047000,0.809017,0.895602,0.791203,9617
0.048000,0.587785,0.771281,0.542562,9868
0.049000,0.309017,0.630983,0.261966,10425
0.050000,-0.000000,0.471867,-0.056266,10628
0.051000,-0.309017,0.307521,-0.384958,9879
0.052000,-0.587785,0.199578,-0.600844,10422
0.053000,-0.809017,0.084792,-0.830417,10744
0.054000,-0.951057,0.025535,-0.948930,10887
0.055000,-1.000000,0.000000,-1.000000,16307
0.056000,-0.951057,0.021484,-0.957032,9542
0.057000,-0.809017,0.088102,-0.823796,8161
0.058000,-0.587785,0.181339,-0.637322,6452
0.059000,-0.309017,0.305831,-0.388338,18762
0.060000,0.000000,0.472525,-0.054949,5496
0.061000,0.309017,0.629884,0.259768,8292
0.062000,0.587785,0.767576,0.535153,9857
0.063000,0.809017,0.881177,0.762354,9754
0.064000,0.951057,0.967329,0.934658,8907
0.065000,1.000000,0.998768,0.997536,8927
0.066000,0.951057,0.973632,0.947264,10050
0.067000,0.809017,0.896541,0.793083,10004
0.068000,0.587785,0.776396,0.552793,10295
0.069000,0.309017,0.626414,0.252828,10343
0.070000,-0.000000,0.473272,-0.053455,12777
0.071000,-0.309017,0.325257,-0.349485,9906
0.072000,-0.587785,0.199265,-0.601471,8431
0.073000,-0.809017,0.094286,-0.811427,5303
0.074000,-0.951057,0.025272,-0.949455,8626
0.075000,-1.000000,0.000000,-1.000000,11563
0.076000,-0.951057,0.020817,-0.958366,11433
0.077000,-0.809017,0.078214,-0.843572,11085
0.078000,-0.587785,0.178720,-0.642561,11090
0.079000,-0.309017,0.309540,-0.380920,10157
0.080000,0.000000,0.466246,-0.067508,10458
0.081000,0.309017,0.604986,0.209972,9868
0.082000,0.587785,0.765844,0.531687,7858
0.083000,0.809017,0.880435,0.760870,8740
0.084000,0.951057,0.972372,0.944743,8361
0.085000,1.000000,0.998058,0.996116,13903
0.086000,0.951057,0.973508,0.947016,9701
0.087000,0.809017,0.890261,0.780521,5832
0.088000,0.587785,0.774994,0.549989,4351
0.089000,0.309017,0.642963,0.285926,5386
0.090000,-0.000000,0.470606,-0.058789,10155
0.091000,-0.309017,0.306170,-0.387661,9093
0.092000,-0.587785,0.192335,-0.615330,11246
0.093000,-0.809017,0.084666,-0.830667,11315
0.094000,-0.951057,0.019606,-0.960788,10609
0.095000,-1.000000,0.001049,-0.997903,10489
0.096000,-0.951057,0.019275,-0.961451,18833
0.097000,-0.809017,0.081460,-0.837079,11969
0.098000,-0.587785,0.182989,-0.634023,9864
0.099000,-0.309017,0.293673,-0.412655,8724
0.100000,0.000000,0.459435,-0.081129,20264
0.101000,0.309017,0.618227,0.236453,8932
0.102000,0.587785,0.763083,0.526166,7395
0.103000,0.809017,0.881107,0.762213,5711
0.104000,0.951057,0.964573,0.929146,6464
0.105000,1.000000,0.998281,0.996562,7563
0.106000,0.951057,0.972283,0.944565,10571
0.107000,0.809017,0.888957,0.777914,6538
0.108000,0.587785,0.792061,0.584123,9498
0.109000,0.309017,0.634709,0.269418,10879
0.110000,-0.000000,0.470811,-0.058379,10586
0.111000,-0.309017,0.320109,-0.359782,17972
0.112000,-0.587785,0.185499,-0.629003,10868
0.113000,-0.809017,0.090805,-0.818389,10528
0.114000,-0.951057,0.026663,-0.946674,7726
0.115000,-1.000000,0.000000,-1.000000,10965
0.116000,-0.951057,0.020880,-0.958240,11638
0.117000,-0.809017,0.081031,-0.837938,11292
0.118000,-0.587785,0.180084,-0.639833,11478
0.119000,-0.309017,0.319279,-0.361442,11266
0.120000,0.000000,0.445338,-0.109324,10199
0.121000,0.309017,0.617919,0.235839,10257
0.122000,0.587785,0.765750,0.531500,10143
0.123000,0.809017,0.884527,0.769054,9985
0.124000,0.951057,0.964976,0.929953,10136
0.125000,1.000000,0.997356,0.994712,10212
0.126000,0.951057,0.976685,0.953371,8707
0.127000,0.809017,0.906387,0.812773,9379
0.128000,0.587785,0.775240,0.550479,9806
0.129000,0.309017,0.644207,0.288414,6827
0.130000,-0.000000,0.473457,-0.053086,10417
0.131000,-0.309017,0.334947,-0.330106,7849
