Time (s),Voltage 1 (V),Current 1 (A),Voltage 2 (V),Current 2 (A),Voltage 3 (V),Current 3 (A),Peak (A),Signal Angle (deg),Delta t (s),PMU1 Voltage DFT Real,PMU1 Voltage DFT Imag,PMU1 Voltage Magnitude,PMU1 Voltage Phase,PMU1 Voltage DFT RMS,PMU1 Current DFT Real,PMU1 Current DFT Imag,PMU1 Current Magnitude,PMU1 Current Phase,PMU1 Current DFT RMS,PMU1 Sync Offset,PMU1 Sync Fault,PMU1 Sync Fault Active,PMU1 Mag Noise,PMU1 Phase Noise,PMU1 Clock Drift,PMU1 Clock Drift Fault,PMU1 Packet Loss,PMU1 Bad Data,PMU2 Voltage DFT Real,PMU2 Voltage DFT Imag,PMU2 Voltage Magnitude,PMU2 Voltage Phase,PMU2 Voltage DFT RMS,PMU2 Current DFT Real,PMU2 Current DFT Imag,PMU2 Current Magnitude,PMU2 Current Phase,PMU2 Current DFT RMS,PMU2 Sync Offset,PMU2 Sync Fault,PMU2 Sync Fault Active,PMU2 Mag Noise,PMU2 Phase Noise,PMU2 Clock Drift,PMU2 Clock Drift Fault,PMU2 Packet Loss,PMU2 Bad Data,PMU3 Voltage DFT Real,PMU3 Voltage DFT Imag,PMU3 Voltage Magnitude,PMU3 Voltage Phase,PMU3 Voltage DFT RMS,PMU3 Current DFT Real,PMU3 Current DFT Imag,PMU3 Current Magnitude,PMU3 Current Phase,PMU3 Current DFT RMS,PMU3 Sync Offset,PMU3 Sync Fault,PMU3 Sync Fault Active,PMU3 Mag Noise,PMU3 Phase Noise,PMU3 Clock Drift,PMU3 Clock Drift Fault,PMU3 Packet Loss,PMU3 Bad Data
0.0,-21.876271606450675,0.0,-21.876271606450675,0.0,-21.876271606450675,0.0,0.0,0.0,0.001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False
0.001,78.4890931280124,0.0,78.4890931280124,0.0,78.4890931280124,0.0,0.0,18.0,0.001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False
0.002,178.85445786247544,0.0,178.85445786247544,0.0,178.85445786247544,0.0,0.0,36.0,0.001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False
0.003,239.07246330791676,0.0,239.07246330791676,0.0,239.07246330791676,0.0,0.0,54.0,0.001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False
0.004,291.5424734777271,0.0,291.5424734777271,0.0,291.5424734777271,0.0,0.0,72.0,0.001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False
0.005,306.83560923560225,0.0,306.83560923560225,0.0,306.83560923560225,0.0,0.0,90.0,0.001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False
0.006,293.55204266558803,0.0,293.55204266558803,0.0,293.55204266558803,0.0,0.0,108.0,0.001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False
0.007,250.73443603877152,0.0,250.73443603877152,0.0,250.73443603877152,0.0,0.0,126.00000000000001,0.001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False
0.008,178.72316227534472,0.0,178.72316227534472,0.0,178.72316227534472,0.0,0.0,144.0,0.001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False
0.009,78.17127691414026,0.0,78.17127691414026,0.0,78.17127691414026,0.0,0.0,161.99999999999997,0.001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,False,nan,nan,nan,False,False,False
